Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,42.00858369098712,197.28075,3.2294221921213744,3.2294221921213744,1.0
20000,1.4243042,42.1551724137931,171.15999,3.2367540906215537,3.2367540906215537,1.0
30000,1.4268838,42.311688311688314,125.93092,3.251172908972868,3.251172908972868,1.0
40000,1.4311217,42.45217391304348,99.96106,3.2779606777688732,3.2779606777688732,1.0
50000,1.4303241,41.86695278969957,85.45542,3.2185491123936205,3.2185491123936205,1.0
60000,1.4323369,42.426086956521736,76.74443,3.270151954111846,3.270151954111846,1.0
70000,1.4338267,41.69787234042553,72.57076,3.1924636211801083,3.1924636211801083,1.0
80000,1.4356627,41.82403433476395,71.25483,3.216871025224612,3.216871025224612,1.0
90000,1.4370316,41.97854077253219,71.03779,3.214257272016337,3.214257272016337,1.0
100000,1.4386724,41.40851063829787,59.528324,3.1677529639386117,3.1677529639386117,1.0
110000,1.439978,41.96995708154506,44.59021,3.215999747550539,3.215999747550539,1.0
120000,1.4414388,42.099137931034484,26.189024,3.232478215776641,3.232478215776641,1.0
130000,1.4435086,41.18565400843882,15.057073,3.1368014571032945,3.1368014571032945,1.0
140000,1.4456754,41.6,12.492432,3.1826636131773602,3.1826636131773602,1.0
150000,1.4477319,41.81623931623932,10.7676325,3.198444229924781,3.198444229924781,1.0
160000,1.4492756,42.426086956521736,8.261205,3.2696736698565276,3.2696736698565276,1.0
170000,1.4502474,41.84978540772532,7.359019,3.2082744442853803,3.2082744442853803,1.0
180000,1.4506284,41.837606837606835,7.3619184,3.2052604622311063,3.2052604622311063,1.0
190000,1.4507293,42.17316017316017,6.99888,3.252947828986428,3.252947828986428,1.0
200000,1.4509317,41.91416309012875,6.1306405,3.2215534064902767,3.2215534064902767,1.0
210000,1.4518068,41.40677966101695,4.8940334,3.1674743739225097,3.1674743739225097,1.0
220000,1.4530753,42.03004291845494,4.1490073,3.224592055373949,3.224592055373949,1.0
230000,1.4535921,42.23376623376623,3.8581088,3.250363420098375,3.250363420098375,1.0
240000,1.4534273,41.72649572649573,3.7350454,3.198820309761243,3.198820309761243,1.0
250000,1.4534199,41.927038626609445,3.5648875,3.2207036386743635,3.2207036386743635,1.0
260000,1.4538944,41.78632478632478,3.5814188,3.204414311637226,3.204414311637226,1.0
270000,1.4546355,41.4,3.4845812,3.1596593430701723,3.1596593430701723,1.0
280000,1.4553835,41.78632478632478,3.4990182,3.2052219861593003,3.2052219861593003,1.0
290000,1.4555745,41.66808510638298,3.4655404,3.191582770043231,3.191582770043231,1.0
300000,1.4558117,41.79399141630901,3.391806,3.211737954053756,3.211737954053756,1.0
310000,1.4558201,41.60851063829787,3.300279,3.1835402123471526,3.1835402123471526,1.0
320000,1.4557971,42.03879310344828,3.2372596,3.2277023597010253,3.2277023597010253,1.0
330000,1.4559604,41.93562231759657,3.1566355,3.2254375224461374,3.2254375224461374,1.0
340000,1.4563583,42.46086956521739,3.116891,3.2736128454623015,3.2736128454623015,1.0
350000,1.456537,41.18987341772152,3.0359323,3.14653985409797,3.14653985409797,1.0
360000,1.4563715,42.38961038961039,3.0152504,3.2624543177617062,3.2624543177617062,1.0
370000,1.4563315,41.75213675213675,2.881108,3.195405797061757,3.195405797061757,1.0
380000,1.4564041,41.42553191489362,2.6514275,3.1737359402027536,3.1737359402027536,1.0
390000,1.4566135,42.00429184549356,2.5938647,3.2306220623556636,3.2306220623556636,1.0
400000,1.4565451,41.918454935622314,2.376156,3.2185705577866712,3.2185705577866712,1.0
410000,1.4564666,41.49787234042553,2.3186176,3.1733146789226128,3.1733146789226128,1.0
420000,1.4566947,42.56521739130435,2.2561338,3.282686727979909,3.282686727979909,1.0
430000,1.4566133,42.49130434782609,2.087075,3.276182417247606,3.276182417247606,1.0
440000,1.4565115,41.63247863247863,2.0466168,3.174063896521544,3.174063896521544,1.0
450000,1.4564899,42.27272727272727,1.9166663,3.2564110281147483,3.2564110281147483,1.0
460000,1.4564022,41.782051282051285,1.8122616,3.2090724248152513,3.2090724248152513,1.0
470000,1.4563645,41.66382978723404,1.7473351,3.184769993640007,3.184769993640007,1.0
480000,1.4563711,41.5940170940171,1.6360615,3.1885724108443303,3.1885724108443303,1.0
490000,1.456362,41.85897435897436,1.5658433,3.215939947682568,3.215939947682568,1.0
500000,1.4563435,42.17748917748918,1.4640647,3.238224875875366,3.238224875875366,1.0
