Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,152.46326,84.78448275862068,-0.8222068935504248,-0.8222068935504248,1.0
20000,1.4249691,133.29315,82.1900826446281,-0.8257333305974801,-0.8257333305974801,1.0
30000,1.428091,129.11676,85.38260869565218,-0.8196293065517113,-0.8196293065517113,1.0
40000,1.4304396,119.73045,80.4308943089431,-0.8266260134495371,-0.8266260134495371,1.0
50000,1.4323548,91.85421,81.24590163934427,-0.8394876006713583,-0.8394876006713583,1.0
60000,1.4353228,81.40204,81.36363636363636,-0.8244344234832974,-0.8244344234832974,1.0
70000,1.4353253,80.749466,81.78512396694215,-0.8222148725685995,-0.8222148725685995,1.0
80000,1.4358855,65.06215,81.37190082644628,-0.8320909063062392,-0.8320909063062392,1.0
90000,1.4384129,55.873894,83.03361344537815,-0.8451512581786188,-0.8451512581786188,1.0
100000,1.4419539,43.94794,82.1900826446281,-0.8365666637818019,-0.8365666637818019,1.0
110000,1.4439662,36.27194,80.8360655737705,-0.8375491777160129,-0.8375491777160129,1.0
120000,1.4457407,34.178993,80.82786885245902,-0.8332113796860222,-0.8332113796860222,1.0
130000,1.4480585,27.21038,80.30081300813008,-0.8282926806468305,-0.8282926806468305,1.0
140000,1.4497172,22.250662,80.81818181818181,-0.8384508168111082,-0.8384508168111082,1.0
150000,1.4512174,17.305195,81.64462809917356,-0.8196528894472713,-0.8196528894472713,1.0
160000,1.4512938,13.609795,82.05785123966942,-0.8356833300242822,-0.8356833300242822,1.0
170000,1.4518297,10.675706,82.74789915966386,-0.8298916637897491,-0.8298916637897491,1.0
180000,1.4545444,8.861098,82.61666666666666,-0.8250756275628796,-0.8250756275628796,1.0
190000,1.458275,7.102631,81.50413223140495,-0.8416475385549615,-0.8416475385549615,1.0
200000,1.4610612,5.2494116,82.475,-0.8226134422696939,-0.8226134422696939,1.0
210000,1.4619436,4.249784,81.36363636363636,-0.8186885215586326,-0.8186885215586326,1.0
220000,1.4622928,3.6149921,81.10655737704919,-0.8367868824938282,-0.8367868824938282,1.0
230000,1.4629971,3.0038707,81.37190082644628,-0.8271487574439403,-0.8271487574439403,1.0
240000,1.4632739,1.7819899,80.4308943089431,-0.8348292654486207,-0.8348292654486207,1.0
250000,1.4633757,0.9917713,81.51239669421487,-0.8271735506978902,-0.8271735506978902,1.0
